5000 bound successfully
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
5002 didn't bind
5003 didn't bind
5000 didn't bind
5001 didn't bind
